# TIPO,LOGRADOURO,BAIRRO,CIDADE
RUA,ADAMANTINA,ITAIPU (BARREIRO),BELO HORIZONTE
RUA,ADAMASTOR TYMBURIBA,CIDADE NOVA,BELO HORIZONTE
RUA,ADAO MACIEL,AARAO REIS,BELO HORIZONTE
RUA,ADAO RIBEIRO,JARDIM VITORIA,BELO HORIZONTE
BECO,SANTANA,VILA ANTENA,BELO HORIZONTE
RUA,ADAUTO FEITOSA,DONA CLARA,BELO HORIZONTE
RUA,ADAUTO LUCIO CARDOSO,BELVEDERE,BELO HORIZONTE
RUA,DONA ADELAIDE,MONSENHOR MESSIAS,BELO HORIZONTE
RUA,ADELAIDE ROCHA,PILAR,BELO HORIZONTE
BECO,DA ADELAIDE,VENTOSA,BELO HORIZONTE
RUA,ADELIA CARMEN DA SILVA,ITAIPU (BARREIRO),BELO HORIZONTE
RUA,ADELIA HELBERT TEIXEIRA,TEIXEIRA DIAS (BARREIRO),BELO HORIZONTE
BECO,ADELINA,SAO JORGE,BELO HORIZONTE
BECO,ADELINA AMARAL PONGELUPI,FLAVIO MARQUES LISBOA (BARREIRO),BELO HORIZONTE
RUA,ADELINA SALES PEREIRA,PLANALTO,BELO HORIZONTE
RUA,ADELINA SERVE MACHADO,DIAMANTE (BARREIRO),BELO HORIZONTE
RUA,ADELINA PATRICIA DE CARVALHO,DIAMANTE (BARREIRO),BELO HORIZONTE
RUA,ADELINA RITA DE JESUS,ALIPIO DE MELO,BELO HORIZONTE
RUA,ADEM,ALIPIO DE MELO,BELO HORIZONTE
RUA,ADEMAR DIAS DUARTE,HELIOPOLIS,BELO HORIZONTE
RUA,ADEMAR MARTINS VIEIRA,OURO PRETO,BELO HORIZONTE
RUA,ADEMAR PARREIRAS DE MORAIS,UNIAO,BELO HORIZONTE
RUA,ADEMAR PIMENTA BRANT,MANGABEIRAS,BELO HORIZONTE
RUA,ADENIR PEREIRA DE SOUZA,SERRANO,BELO HORIZONTE
RUA,ADENOR SIMOES FILHO,MINEIRAO,BELO HORIZONTE
RUA,ADERITO TAVORA,HELIOPOLIS,BELO HORIZONTE
RUA,ADILSON PAULO DE SOUZA,SAO JOAO BATISTA (VENDA NOVA),BELO HORIZONTE
RUA,ADMA SABA PAIVA,OURO PRETO,BELO HORIZONTE
RUA,DOS ADMINISTRADORES,ALIPIO DE MELO,BELO HORIZONTE
RUA,ADOLFO BEZERRA DE MENEZES,CAMPO ALEGRE,BELO HORIZONTE
RUA,ADOLFO LIPPI FONSECA,TREVO,BELO HORIZONTE
RUA,ADOLFO LUTZ,CAMPO ALEGRE,BELO HORIZONTE
RUA,ADOLFO MONTEIRO DE CASTRO,CAICARAS,BELO HORIZONTE
RUA,ADOLFO PEREIRA,ANCHIETA,BELO HORIZONTE
RUA,ADOLFO RADICE,COMITECO,BELO HORIZONTE
RUA,ADOLPHO DE OLIVEIRA PORTELA,CASTELO,BELO HORIZONTE
RUA,ADONIAS FILHO,SANTA MARIA,BELO HORIZONTE
BECO,ADONIAS FILHO,NOSSA SENHORA DE FATIMA,BELO HORIZONTE
RUA,ADONIS,SAO BERNARDO,BELO HORIZONTE
RUA,ADORINO FERREIRA,CALIFORNIA,BELO HORIZONTE
RUA,ADRIANA,PINDORAMA,BELO HORIZONTE
TRAVESSA,DO ADRIANO,NOVA CINTRA,BELO HORIZONTE
RUA,ADRIANO FONSECA FILHO,BRAUNAS,BELO HORIZONTE
RUA,ADRIANO MODESTO,CACHOEIRINHA,BELO HORIZONTE
RUA,MARIA CAMARGOS DINIZ,VENTOSA,BELO HORIZONTE
RUA,ADVANCE,RIBEIRO DE ABREU,BELO HORIZONTE
RUA,DOS ADVOGADOS,ALIPIO DE MELO,BELO HORIZONTE
RUA,AEROLITO,CAICARAS,BELO HORIZONTE
RUA,DOS AERONAUTAS,LIBERDADE,BELO HORIZONTE
RUA,AEROPORTO,CONJUNTO TAQUARIL,BELO HORIZONTE
RUA,DOS AEROVIARIOS,PAMPULHA,BELO HORIZONTE
RUA,RENASCER,CONJUNTO PAULO VI,BELO HORIZONTE
RUA,AFEGANISTAO,ITAIPU (BARREIRO),BELO HORIZONTE
PRACA,AFFONSO DE ALMEIDA MAGALHAES,MANTIQUEIRA,BELO HORIZONTE
BECO,DOS AFLITOS,CABANA,BELO HORIZONTE
RUA,AFLUENTES,CONJUNTO CELSO MACHADO,BELO HORIZONTE
RUA,AFONSO ALMEIDA MAGALHAES,JARAGUA,BELO HORIZONTE
PRACA,AFONSO ARINOS,CENTRO,BELO HORIZONTE
RUA,AFONSO BARBOSA MELO,SANTA LUCIA,BELO HORIZONTE
RUA,AFONSO CELSO,SANTA MONICA,BELO HORIZONTE
