# TIPO,LOGRADOURO,BAIRRO,CIDADE
RUA,CASSITERITA,SANTA INES,BELO HORIZONTE
RUA,CASTANHAL,SAO GABRIEL,BELO HORIZONTE
RUA,DAS CASTANHEIRA,CONJUNTO TAQUARIL,BELO HORIZONTE
RUA,CASTANHEIRO,MILIONARIOS (BARREIRO),BELO HORIZONTE
RUA,CASTANHO TAQUES,NOVA ESPERANCA,BELO HORIZONTE
RUA,CASTANHOLAS,MADRI,BELO HORIZONTE
AVE,DAS CASTANHOLAS,CONJUNTO CALIFORNIA,BELO HORIZONTE
RUA,CASTELO,NOVO GLORIA,BELO HORIZONTE
RUA,CASTELO BRANCO,SANTA TEREZINHA,BELO HORIZONTE
RUA,CASTELO DA BEIRA,CASTELO,BELO HORIZONTE
RUA,CASTELO DA FEIRA,CASTELO,BELO HORIZONTE
RUA,CASTELO DE ABRANTES,CASTELO,BELO HORIZONTE
RUA,CASTELO DE AJUDA,CASTELO,BELO HORIZONTE
RUA,CASTELO DE ALCAZAR,CASTELO,BELO HORIZONTE
RUA,CASTELO DE ALCOBACA,CASTELO,BELO HORIZONTE
RUA,CASTELO DE ALENQUER,CASTELO,BELO HORIZONTE
RUA,CASTELO DE ALMADA,CASTELO,BELO HORIZONTE
RUA,CASTELO DE AMIEIRA,CASTELO,BELO HORIZONTE
RUA,CASTELO DE ANIEIRA,IPE,BELO HORIZONTE
RUA,CASTELO DE ARRAIOLOS,CASTELO,BELO HORIZONTE
RUA,CASTELO DE AVIS,CASTELO,BELO HORIZONTE
RUA,CASTELO DE BEJA,CASTELO,BELO HORIZONTE
RUA,CASTELO DE BELMONTE,CASTELO,BELO HORIZONTE
RUA,CASTELO DE CRATO,CASTELO,BELO HORIZONTE
RUA,CASTELO DE DOVER,CASTELO,BELO HORIZONTE
RUA,CASTELO DE EDIMBURGO,CASTELO,BELO HORIZONTE
RUA,CASTELO DE FARO,CASTELO,BELO HORIZONTE
RUA,CASTELO GUIMARAES,CASTELO,BELO HORIZONTE
RUA,CASTELO LAMEGO,CASTELO,BELO HORIZONTE
RUA,CASTELO DE LISBOA,CASTELO,BELO HORIZONTE
RUA,CASTELO DE OBIDOS,CASTELO,BELO HORIZONTE
RUA,CASTELO SANTO ANGELO,CASTELO,BELO HORIZONTE
RUA,CASTELO DE SAO JORGE,CASTELO,BELO HORIZONTE
RUA,CASTELO DE SINTRA,CASTELO,BELO HORIZONTE
RUA,CASTELO DE TORDESILHAS,CASTELO,BELO HORIZONTE
RUA,CASTELO DE VEIROS,CASTELO,BELO HORIZONTE
RUA,CASTELO DE VIDE,CASTELO,BELO HORIZONTE
RUA,CASTELO DE WINDSOR,CASTELO,BELO HORIZONTE
RUA,CASTELO DO PIAUI,SAO GABRIEL,BELO HORIZONTE
RUA,CASTELO ELVAS,CASTELO,BELO HORIZONTE
RUA,CASTELO EVORA,CASTELO,BELO HORIZONTE
RUA,CASTELO MONTALVAO,CASTELO,BELO HORIZONTE
RUA,CASTELO MOURA,CASTELO,BELO HORIZONTE
RUA,CASTELO NOVO,SANTA EFIGENIA,BELO HORIZONTE
RUA,CASTELO RODRIGO,CASTELO,BELO HORIZONTE
RUA,CASTELO SANTAREM,CASTELO,BELO HORIZONTE
RUA,CASTELO SERPA,CASTELO,BELO HORIZONTE
RUA,CASTIGLIANO,PADRE EUSTAQUIO,BELO HORIZONTE
RUA,CASTIGLIANO SILVA,BOA VISTA,BELO HORIZONTE
RUA,CASTILHO,PIRATININGA (VENDA NOVA),BELO HORIZONTE
RUA,CASTOR,MIRAMAR (BARREIRO),BELO HORIZONTE
RUA,CASTRO ALVES,JARDIM LEBLON,BELO HORIZONTE
AVE,CASTRO ALVES,SANTA MONICA,BELO HORIZONTE
RUA,ITAPENA,PRIMEIRO DE MAIO,BELO HORIZONTE
RUA,CASTRO ALVES,JARDIM VITORIA,BELO HORIZONTE
RUA,CASTRO ALVES,BEIJA FLOR,BELO HORIZONTE
RUA,CASTRO CALDAS,PADRE EUSTAQUIO,BELO HORIZONTE
RUA,CASTRO MENEZES,SANTA MARIA,BELO HORIZONTE
RUA,CASTRO MORAIS,CACHOEIRINHA,BELO HORIZONTE
RUA,CASUARINA,CAICARAS,BELO HORIZONTE
RUA,CATADUPAS,SALGADO FILHO,BELO HORIZONTE
BECO,CATADUPAS,SALGADO FILHO,BELO HORIZONTE
RUA,CATAGUAZES,CARLOS PRATES,BELO HORIZONTE
RUA,CATALUNHA,SANTA TEREZINHA,BELO HORIZONTE
RUA,CATANDUVA,RENASCENCA,BELO HORIZONTE
RUA,CATA PRETA,JOAO PINHEIRO,BELO HORIZONTE
BECO,CATARINO,SAO LUCAS,BELO HORIZONTE
RUA,CATAS ALTAS,PROVIDENCIA,BELO HORIZONTE
RUA,GARCON JOAO FERREIRA,PIRATININGA (VENDA NOVA),BELO HORIZONTE
RUA,CATIARA,SALGADO FILHO,BELO HORIZONTE
RUA,CATUA,SAO GERALDO,BELO HORIZONTE
AVE,CATULO DA PAIXAO CEARENSE,DAS INDUSTRIAS I (BARREIRO),BELO HORIZONTE
RUA,CATULO DA PAIXAO CEARENSE,TUPI A,BELO HORIZONTE
RUA,CATUMBI,CAICARAS,BELO HORIZONTE
PRACA,CAUE,MADRE GERTRUDES,BELO HORIZONTE
RUA,DOS CAVAQUINHOS,CONJUNTO CALIFORNIA,BELO HORIZONTE
RUA,CAVARO,PILAR,BELO HORIZONTE
RUA,CAVIANA,JARDINOPOLIS,BELO HORIZONTE
RUA,CAVIUNA,SOLIMOES,BELO HORIZONTE
RUA,CAXAMBU,LAGOINHA,BELO HORIZONTE
RUA,CACHANGA,GUARANI,BELO HORIZONTE
RUA,CAXIAS DO SUL,COPACABANA,BELO HORIZONTE
RUA,CEARA,SANTA EFIGENIA,BELO HORIZONTE
RUA,CEARA,FUNCIONARIOS,BELO HORIZONTE
RUA,CECILDES MOREIRA DE FARIA,GAMELEIRA,BELO HORIZONTE
RUA,CECILIA DE ALMEIDA,SALGADO FILHO,BELO HORIZONTE
RUA,CECILIA FONSECA COUTINHO,CASTELO,BELO HORIZONTE
PRACA,CECILIA MEIRELES,LAJEDO,BELO HORIZONTE
RUA,NOE MARQUES DE OLIVEIRA,JAQUELINE,BELO HORIZONTE
RUA,CECILIA PEREIRA DA SILVA,FLAVIO MARQUES LISBOA (BARREIRO),BELO HORIZONTE
RUA,CECILIA TRINDADE BARRETO,SANTA AMELIA,BELO HORIZONTE
RUA,CECILIO EMIGDIO SATURNINO,MINASLANDIA (P MAIO),BELO HORIZONTE
RUA,CEDRO DO ABAETE,FLAVIO MARQUES LISBOA (BARREIRO),BELO HORIZONTE
RUA,CELIA COSTA,GLORIA,BELO HORIZONTE
RUA,CELIA DE SOUSA,SAGRADA FAMILIA,BELO HORIZONTE
PRACA,CELIA DUTRA LEMOS,MANTIQUEIRA,BELO HORIZONTE
RUA,CELINA DIAS DE SOUZA,JAQUELINE,BELO HORIZONTE
RUA,CELIO CAUTIERO,CALIFORNIA,BELO HORIZONTE
RUA,CELIO DE CASTRO,FLORESTA,BELO HORIZONTE
RUA,CELIO DINIZ,RIO BRANCO,BELO HORIZONTE
RUA,CELIO MOREIRA DE CARVALHO,BURITIS,BELO HORIZONTE
RUA,CELSO BAETA NEVES,TREVO,BELO HORIZONTE
RUA,RAFAEL GASPAR,PINDORAMA,BELO HORIZONTE
RUA,CELSO CLARK LIMA,PALMEIRAS,BELO HORIZONTE
RUA,CELSO DA CUNHA PEREIRA,TREVO,BELO HORIZONTE
AVE,CELSO PORFIRIO MACHADO,BELVEDERE,BELO HORIZONTE
RUA,CELSO SILVEIRA,PADRE EUSTAQUIO,BELO HORIZONTE
RUA,ROMUALDO DIAS DE MATOS,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,CENACULO,JARDIM SAO JOSE,BELO HORIZONTE
RUA,CENTAURO,SANTA LUCIA,BELO HORIZONTE
RUA,ANAIR ALVES DO AMARAL,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,JOSE PEREIRA DA CRUZ,LAGOA,BELO HORIZONTE
RUA,CENTO E NOVE,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,JOSE DOMINGOS DE OLIVEIRA,LAGOA,BELO HORIZONTE
RUA,WILIAM DIRCEU ZUCCHERATE,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,SOLDADO HORACIO GODINHO,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,NILSON MACHADO,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,JOSE TEOFILO DA SILVA,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,PEDRO HERMINIO DE AZEVEDO,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,CENTO E QUINZE,SERRA VERDE (VENDA NOVA),BELO HORIZONTE
RUA,ODILON GOMES DE ALMEIDA,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,CENTO E TREZE,LAGOA,BELO HORIZONTE
RUA,TENENTE-CORONEL JOAO DE ASSIS,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,GERALDO BICALHO BRANDAO,SERRA VERDE (VENDA NOVA),BELO HORIZONTE
RUA,HELIO VEIGA REIS,SERRA VERDE (VENDA NOVA),BELO HORIZONTE
RUA,ROBERTO PEREIRA DA SILVA,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,ADERBAL TEIXEIRA ROCHA,SERRA VERDE (VENDA NOVA),BELO HORIZONTE
RUA,MARIA NORVINDA SOARES,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,GENI CATIZANE DE SA,SERRA VERDE (VENDA NOVA),BELO HORIZONTE
RUA,DARCY MAXIMO PIMENTA,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
ALAMEDA,CENTRAL,VILA SUMARE,BELO HORIZONTE
BECO,CENTRAL,JARDIM LEBLON,BELO HORIZONTE
RUA,CENTRAL,COPACABANA,BELO HORIZONTE
RUA,CENTRAL,JARDIM LEBLON,BELO HORIZONTE
RUA,CENTRAL DO BRASIL,ITAIPU (BARREIRO),BELO HORIZONTE
BECO,CENTRAL A,VILA ANTENA,BELO HORIZONTE
BECO,CENTRAL-B,SAO JORGE,BELO HORIZONTE
RUA,CENTRAL,NOVA CINTRA,BELO HORIZONTE
RUA,CENTRALINA,SANTA INES,BELO HORIZONTE
RUA,CENTO E TRINTA E NOVE,VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,CENTRO SOCIAL,CABANA,BELO HORIZONTE
RUA,CERCADINHO,SALGADO FILHO,BELO HORIZONTE
RUA,CEREJEIRA,BONSUCESSO (BARREIRO),BELO HORIZONTE
RUA,CERINA,ALTO DOS PINHEIROS,BELO HORIZONTE
RUA,ROSA ZANDONA,VENDA NOVA,BELO HORIZONTE
RUA,SERRO AZUL,MARIQUINHAS,BELO HORIZONTE
RUA,CERRO CORA,PINDORAMA,BELO HORIZONTE
RUA,CERUSA,PINDORAMA,BELO HORIZONTE
RUA,CERVANTES,SAO LUCAS,BELO HORIZONTE
RUA,CESAR CAMPOS,CIDADE JARDIM,BELO HORIZONTE
RUA,CEZAR GEORGE,APARECIDA,BELO HORIZONTE
RUA,CESAR SALLES BARBOSA,JARDIM DOS COMERCIARIOS (VENDA NOVA),BELO HORIZONTE
RUA,CESARIO ALVIM,PADRE EUSTAQUIO,BELO HORIZONTE
RUA,CEU AZUL,CONJUNTO TAQUARIL,BELO HORIZONTE
RUA,CEUTA,CANAA,BELO HORIZONTE
RUA,DA CHACARA,CABANA,BELO HORIZONTE
RUA,CHACARAS REUNIDAS,BONSUCESSO (BARREIRO),BELO HORIZONTE
RUA,DAS CHACARAS,MANTIQUEIRA,BELO HORIZONTE
RUA,CHAFARIZ,PETROPOLIS (BARREIRO),BELO HORIZONTE
RUA,CHAFARIZ,MARCOLA,BELO HORIZONTE
RUA,CHAFARIZ,VENTOSA,BELO HORIZONTE
AVE,CHAFFIR FERREIRA,SAO JOSE,BELO HORIZONTE
PRACA,CHAFIC KASSIS,SANTA LUCIA,BELO HORIZONTE
PRACA,CHAIM ZAC,MANGABEIRAS,BELO HORIZONTE
RUA,CHAPADA,GLORIA,BELO HORIZONTE
RUA,CHAPADA DO NORTE,SANTA TEREZINHA,BELO HORIZONTE
RUA,DO CHAPARRAL,MARCOLA,BELO HORIZONTE
RUA,CHAPINHA,CABANA,BELO HORIZONTE
RUA,CHAVES,AARAO REIS,BELO HORIZONTE
RUA,CHEHADE NASSER,OURO PRETO,BELO HORIZONTE
RUA,CHEIK NAGIB ASSRAUY,JARDIM ATLANTICO,BELO HORIZONTE
RUA,CHASQUIEL ZINQUIER,NOSSA SENHORA DA SAUDE,BELO HORIZONTE
RUA,DOS XETAS,SANTA MONICA,BELO HORIZONTE
RUA,CHICA DA SILVA,APARECIDA,BELO HORIZONTE
RUA,CHICAGO,SION,BELO HORIZONTE
RUA,CHICO MARIO,SERRANO,BELO HORIZONTE
ALAMEDA,CHICO MENDES,CASTANHEIRA II VALE DO JATOBA (BARREIRO),BELO HORIZONTE
PRACA,CHICO MENDES,LAGOA,BELO HORIZONTE
RUA,CHICO REI,ESTRELA DO ORIENTE,BELO HORIZONTE
RUA,CHILE,PARQUE COPACABANA,BELO HORIZONTE
RUA,CHILE,SION,BELO HORIZONTE
PRACA,CHIPRE,EUROPA,BELO HORIZONTE
RUA,CHIQUINHA GONZAGA,TUPI B,BELO HORIZONTE
BECO,CHIQUITO,SAO JORGE,BELO HORIZONTE
PRACA,CHORINHO,CONJUNTO HELENA ANTIPOFF,BELO HORIZONTE
RUA,CHOUPO,CAMPO ALEGRE,BELO HORIZONTE
PRACA,CHUI,ALTO DOS PINHEIROS,BELO HORIZONTE
RUA,DO CHUMBO,SERRA,BELO HORIZONTE
AVE,CHURCHILL,SANTA EFIGENIA,BELO HORIZONTE
RUA,CIANITA,GRAJAU,BELO HORIZONTE
RUA,CIBIPURUNA,MONTE AZUL,BELO HORIZONTE
BECO,CICATRIZ,SAO JORGE,BELO HORIZONTE
RUA,CICERO FERREIRA,SERRA,BELO HORIZONTE
RUA,CICLOPICA,CAICARAS,BELO HORIZONTE
RUA,CIDADE DO CABO,ESTRELA DALVA,BELO HORIZONTE
PRACA,CIDADE DO PORTO,SERRA,BELO HORIZONTE
BECO,CIDADE NOVA,VENTOSA,BELO HORIZONTE
RUA,CIDRA,CAMPO ALEGRE,BELO HORIZONTE
RUA,CIMOFANA,PINDORAMA,BELO HORIZONTE
RUA,CINABRIO,SENHOR DOS PASSOS,BELO HORIZONTE
RUA,CINCO,CONJUNTO CONFISCO,BELO HORIZONTE
RUA,CINCO,VISTA ALEGRE,BELO HORIZONTE
RUA,CINCO,BONSUCESSO (BARREIRO),BELO HORIZONTE
RUA,ALFAVACA,CONJUNTO PAULO VI,BELO HORIZONTE
RUA,JOAQUIM PURIFICACAO DO CARMO,MARIA GORETTI,BELO HORIZONTE
RUA,CINCO,PILAR,BELO HORIZONTE
RUA,CINCO,CONJUNTO SANTA MARIA,BELO HORIZONTE
ALAMEDA,DAS MURTAS,JARDIM FELICIDADE,BELO HORIZONTE
RUA,CINCO,BELMONTE,BELO HORIZONTE
RUA,IVALDIR ALVES PEDROSA,LINDEIA (BARREIRO),BELO HORIZONTE
RUA,ALDA,XODO MARIZE,BELO HORIZONTE
RUA,PACIFICO CARDOSO DE ANDRADE,MINEIRAO,BELO HORIZONTE
RUA,DAS ALMAS,CONJUNTO PAULO VI,BELO HORIZONTE
BECO,CINCO,DOM CABRAL,BELO HORIZONTE
RUA,CINCO,INDEPENDENCIA (BARREIRO),BELO HORIZONTE
RUA,JOSE ROBERTO RESENDE,VISTA ALEGRE,BELO HORIZONTE
RUA,CINCO,VILA ZILAH SPOSITO,BELO HORIZONTE
RUA,ARIOSVALDO CAMPOS PIRES,CARDOSO (BARREIRO),BELO HORIZONTE
RUA,CINCO,OLARIA (BARREIRO),BELO HORIZONTE
RUA,CINCO DE JANEIRO,MARIANO DE ABREU,BELO HORIZONTE
RUA,CINCO DE JULHO,PRIMEIRO DE MAIO,BELO HORIZONTE
RUA,CINEASTA SCHUBERT MAGALHAES,MINEIRAO,BELO HORIZONTE
RUA,CINELANDIA,LEBLON (VENDA NOVA),BELO HORIZONTE
RUA,CINERARIA,CAMPO ALEGRE,BELO HORIZONTE
RUA,CINQUENTA,JARDIM ALVORADA,BELO HORIZONTE
RUA,CINQUENTA,EUROPA,BELO HORIZONTE
RUA,CINQUENTA,NOVO AARAO REIS,BELO HORIZONTE
RUA,JOAO PINTO,NOVA GAMELEIRA,BELO HORIZONTE
RUA,FAZENDINHA,JARDIM FELICIDADE,BELO HORIZONTE
RUA,SAO REGIS,JARDIM DOS COMERCIARIOS (VENDA NOVA),BELO HORIZONTE
RUA,CINQUENTA E DOIS,BURITIS,BELO HORIZONTE
RUA,FRANCISCO DE PAULA DE ROCHA,JARDIM FELICIDADE,BELO HORIZONTE
RUA,OSWALDO CRIVELLARI,SANTA ROSA,BELO HORIZONTE
RUA,JOSE DUTRA DE ARAUJO,JARDIM FELICIDADE,BELO HORIZONTE
RUA,VEREADOR PAULO PORTUGAL,JARDIM GUANABARA,BELO HORIZONTE
RUA,ROMANA SERRA DE MIRANDA,JARDIM FELICIDADE,BELO HORIZONTE
RUA,JOSE DUARTE FERREIRA,JARDIM FELICIDADE,BELO HORIZONTE
RUA,JOSE ALVES DE QUEIROZ,JARDIM DOS COMERCIARIOS (VENDA NOVA),BELO HORIZONTE
RUA,JERONIMO FIRMINO MARTINS,JARDIM FELICIDADE,BELO HORIZONTE
RUA,CINQUENTA E TRES,JARDIM FELICIDADE,BELO HORIZONTE
RUA,DOMINGOS COBERIO,JARDIM ALVORADA,BELO HORIZONTE
RUA,BRENO PEREIRA DE CASTRO,JARDIM FELICIDADE,BELO HORIZONTE
RUA,EDIVALDO JARDIM,JARDIM DOS COMERCIARIOS (VENDA NOVA),BELO HORIZONTE
RUA,CINQUENTA E UM,NOVO AARAO REIS,BELO HORIZONTE
RUA,CINQUENTA-A,NOVO AARAO REIS,BELO HORIZONTE
BECO,CENTO E SETENTA,VILA BARRAGEM SANTA LUCIA,BELO HORIZONTE
RUA,CINTRA DE OLIVEIRA,SANTA EFIGENIA,BELO HORIZONTE
RUA,CIPO,GUARANI,BELO HORIZONTE
RUA,CIPOTANEA,CARDOSO (BARREIRO),BELO HORIZONTE
RUA,CIPRESTE,MARAJO,BELO HORIZONTE
RUA,CIPRIANO BARATA,CAMPO ALEGRE,BELO HORIZONTE
RUA,CIPRIANO DE CARVALHO,CINQUENTENARIO,BELO HORIZONTE
RUA,CIRANDA,CONJUNTO HELENA ANTIPOFF,BELO HORIZONTE
RUA,CIRANDINHA,FLORAMAR,BELO HORIZONTE
RUA,CIRCULAR,SAO GABRIEL,BELO HORIZONTE
RUA,CIRILO GASPAR DE ARAUJO,APARECIDA,BELO HORIZONTE
RUA,CIRO FLAVIO SALAZAR,BRAUNAS,BELO HORIZONTE
RUA,CYRO VAZ DE MELO,DONA CLARA,BELO HORIZONTE
RUA,CISNE,MIRAMAR (BARREIRO),BELO HORIZONTE
RUA,CISPLATINA,CAICARAS,BELO HORIZONTE
RUA,CISSUS,JULIANA,BELO HORIZONTE
RUA,DAS CITARAS,CONJUNTO CALIFORNIA,BELO HORIZONTE
PRACA,CIVICA,CONJUNTO HABITACIONAL VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,CLARA,FLAVIO MARQUES LISBOA (BARREIRO),BELO HORIZONTE
RUA,CLARA ELIZA,MONTE AZUL,BELO HORIZONTE
AVE,CLARA NUNES,RENASCENCA,BELO HORIZONTE
RUA,CLARAVAL,BETANIA,BELO HORIZONTE
RUA,CLARICE LISPECTOR,SAO JOAO BATISTA (VENDA NOVA),BELO HORIZONTE
RUA,CLARINDO ULISSES DOS SANTOS,MANTIQUEIRA,BELO HORIZONTE
RUA,DAS CLARINETAS,CONJUNTO CALIFORNIA,BELO HORIZONTE
AVE,DOS CLARINS,CONJUNTO CALIFORNIA,BELO HORIZONTE
RUA,DAS CLARISSAS,PLANALTO,BELO HORIZONTE
RUA,CLARO DOS POCOES,FLAVIO DE OLIVEIRA (BARREIRO),BELO HORIZONTE
RUA,CLAUDIO ANTONIO,APARECIDA,BELO HORIZONTE
RUA,CLAUDIO BRANDAO,TUPI A,BELO HORIZONTE
RUA,CLAUDIO GOMES DE SOUZA,PALMARES,BELO HORIZONTE
RUA,CLAUDIO JOAQUIM ANTUNES,BRAUNAS,BELO HORIZONTE
RUA,CLAUDIO JOSE DE SOUZA,UNIAO,BELO HORIZONTE
RUA,CLAUDIO MANOEL,FUNCIONARIOS,BELO HORIZONTE
RUA,CLAUDIO MARCELO,NAZARE,BELO HORIZONTE
RUA,CLAUDIO MARTINS,CAICARAS,BELO HORIZONTE
RUA,CLAUDIO OLIVEIRA NEVES,CAMARGOS,BELO HORIZONTE
RUA,CLAUDIO DA SILVA,HORTO FLORESTAL,BELO HORIZONTE
RUA,CLAUDIO TADEU PALHARES,MANGABEIRAS,BELO HORIZONTE
RUA,CLAUDIONOR MENDES DA SILVEIRA,MINASCAIXA,BELO HORIZONTE
RUA,CLAVE,VILA SANTANA DO CAFEZAL,BELO HORIZONTE
RUA,CLEANTO,NAZARE,BELO HORIZONTE
RUA,CLEBER SOARES DE ANDRADE,TIROL (BARREIRO),BELO HORIZONTE
RUA,CLELIA,SINIMBU,BELO HORIZONTE
RUA,CLEMENCIA FERREIRA EVANGELISTA,TIROL (BARREIRO),BELO HORIZONTE
RUA,CLEMENTE BARRETO,ALIPIO DE MELO,BELO HORIZONTE
PRACA,CLEMENTE DE FARIA,PRADO,BELO HORIZONTE
RUA,CLEMENTE NASCIMENTO PIRES,CALIFORNIA,BELO HORIZONTE
RUA,CLEMENTINA,MARILANDIA JATOBA (BARREIRO),BELO HORIZONTE
RUA,CLEMENTINA DE JESUS,BONSUCESSO (BARREIRO),BELO HORIZONTE
RUA,CLEMENTINO VIANA DOTTI,BURITIS,BELO HORIZONTE
RUA,JOSE ANTENOR DE CASTRO,MINASLANDIA (P MAIO),BELO HORIZONTE
RUA,CLIVIA,OLARIA (BARREIRO),BELO HORIZONTE
RUA,CLORITA,SANTA TERESA,BELO HORIZONTE
RUA,CLOTILDE MARTINS DOS SANTOS,SERRANO,BELO HORIZONTE
RUA,CLOTILDE RIBEIRO COSTA,SAO JOAO BATISTA (VENDA NOVA),BELO HORIZONTE
RUA,CLOVIS CYRILO LIMONGE,HAVAI,BELO HORIZONTE
RUA,CLOVIS MAGALHAES PINTO,CIDADE NOVA,BELO HORIZONTE
RUA,CLOVIS DE SOUZA MUNHOZ,REGINA (BARREIRO),BELO HORIZONTE
RUA,CLOVIS MARTINS DE OLIVEIRA,CEU AZUL,BELO HORIZONTE
RUA,COARI,SAO GERALDO,BELO HORIZONTE
RUA,COBRE,CRUZEIRO,BELO HORIZONTE
RUA,COBRE,UNIVERSITARIO,BELO HORIZONTE
RUA,COCAIS,ESPLANADA,BELO HORIZONTE
RUA,CODAJAS,SAO GABRIEL,BELO HORIZONTE
RUA,DAS CODORNAS,VILA CLORIS,BELO HORIZONTE
RUA,COELHO,SAO JORGE,BELO HORIZONTE
BECO,DO COELHO - 1,MARCOLA,BELO HORIZONTE
RUA,PROFESSORA CECILIA SIQUEIRA,INCONFIDENCIA,BELO HORIZONTE
RUA,COELHO NETO,SANTA MONICA,BELO HORIZONTE
BECO,DO COELHO,SERRA,BELO HORIZONTE
RUA,COIMBRA,COQUEIROS,BELO HORIZONTE
RUA,COIMBRA,MADRE GERTRUDES,BELO HORIZONTE
RUA,DO COLAR,ITAIPU (BARREIRO),BELO HORIZONTE
RUA,COLATINA,RENASCENCA,BELO HORIZONTE
RUA,DA COLEIRINHA,ALTO CAICARAS,BELO HORIZONTE
RUA,COLETOR CELSO WERNECK,SANTO ANTONIO,BELO HORIZONTE
RUA,COLETOR JOSE GONCALVES,SANTA MONICA,BELO HORIZONTE
RUA,COLETORA,CASTANHEIRA II VALE DO JATOBA (BARREIRO),BELO HORIZONTE
AVE,COLETORA II,CASTANHEIRA I VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,WIVER HERNANDES DA SILVA,MANACAS,BELO HORIZONTE
RUA,COLIBRI,FLAVIO MARQUES LISBOA (BARREIRO),BELO HORIZONTE
RUA,COLIDER,VERA CRUZ,BELO HORIZONTE
RUA,COLINA,SAO SALVADOR,BELO HORIZONTE
RUA,COLISEU,GLORIA,BELO HORIZONTE
RUA,COLOMBIA,SION,BELO HORIZONTE
RUA,COLONIA,EUROPA,BELO HORIZONTE
RUA,COLUNA DO MEIO,SANTA CECILIA VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,COLUNA PRESTES,PROVIDENCIA,BELO HORIZONTE
RUA,DOS COMANCHES,SANTA MONICA,BELO HORIZONTE
RUA,COMANDANTE ARY LOPES,SANTA AMELIA,BELO HORIZONTE
RUA,COMANDANTE COSTA,SANTA AMELIA,BELO HORIZONTE
RUA,COMENDADOR BARBOSA MELO,TREVO,BELO HORIZONTE
PRACA,COMENDADOR NEGRAO,FLORESTA,BELO HORIZONTE
RUA,COMENDADOR TEIXEIRA DA COSTA,SANTA AMELIA,BELO HORIZONTE
RUA,COMENDADOR VIANA,MANGABEIRAS,BELO HORIZONTE
RUA,COMENDADOR WIGG,SAO TOMAZ,BELO HORIZONTE
RUA,DOS COMERCIANTES,ALIPIO DE MELO,BELO HORIZONTE
RUA,COMERCINHO,JARDIM LEBLON,BELO HORIZONTE
RUA,DO COMERCIO,MARIA HELENA,BELO HORIZONTE
PRACA,DO COMERCIO,VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,DOS COMETAS,MILIONARIOS (BARREIRO),BELO HORIZONTE
RUA,COMPASSO,VILA SANTANA DO CAFEZAL,BELO HORIZONTE
RUA,COMPOSITOR,VILA SANTANA DO CAFEZAL,BELO HORIZONTE
RUA,COMPOSITOR DUNGA,TUPI B,BELO HORIZONTE
PRACA,DOS COMPOSITORES,ALIPIO DE MELO,BELO HORIZONTE
RUA,DOS COMUNICADORES,ALIPIO DE MELO,BELO HORIZONTE
RUA,DA COMUNIDADE,VILA BARRAGEM SANTA LUCIA,BELO HORIZONTE
PRACA,DA COMUNIDADE,DOM CABRAL,BELO HORIZONTE
RUA,DA COMUNIDADE,PARAISO,BELO HORIZONTE
BECO,DA CONCEICAO,SAO PEDRO,BELO HORIZONTE
RUA,CONCEICAO APARECIDA AUGSTEN,CASTELO,BELO HORIZONTE
PRACA,CONCEICAO CONDE,SANTA MONICA,BELO HORIZONTE
RUA,CONCEICAO COSTA,PINDORAMA,BELO HORIZONTE
RUA,CONCEICAO DA APARECIDA,SANTA TEREZINHA,BELO HORIZONTE
RUA,CONCEICAO DA BARRA,COQUEIROS,BELO HORIZONTE
RUA,CONCEICAO DA PEDRA,SAO GABRIEL,BELO HORIZONTE
RUA,CONCEICAO DAS ALAGOAS,SAO GABRIEL,BELO HORIZONTE
RUA,CONCEICAO DE ITAPEMA,JARDIM LEBLON,BELO HORIZONTE
RUA,CONCEICAO DO CANINDE,SAO GABRIEL,BELO HORIZONTE
RUA,CONCEICAO DO MATO DENTRO,OURO PRETO,BELO HORIZONTE
RUA,CONCEICAO DO PARA,SANTA INES,BELO HORIZONTE
